"date","PM2.5","NO2","NOx"
2018-08-30 02:00:00,7.53333333333333,37.3958161721416,63.5527626206906
2018-08-30 03:00:00,10.3866666666667,43.2448727799221,79.2029907516781
2018-08-30 04:00:00,9.86666666666667,44.5990667193825,94.3685764709736
2018-08-30 05:00:00,10.5066666666667,56.4909306760413,132.78329407134
2018-08-30 06:00:00,12.12,51.0069109151733,132.219036720175
2018-08-30 07:00:00,10.0533333333333,53.5494376206681,148.946971041386
2018-08-30 08:00:00,8.08,61.0619098955781,200.888091736059
2018-08-30 09:00:00,9.76,65.8133418780263,200.47596495114
2018-08-30 10:00:00,10.2933333333333,54.836119883629,157.929388777875
2018-08-30 11:00:00,10.6133333333333,64.947467035318,183.715944402118
2018-08-30 12:00:00,10.2,61.7140008262049,173.170468676714
2018-08-30 13:00:00,10.9066666666667,71.5373186351427,217.304493708854
2018-08-30 14:00:00,10.88,75.9245676558223,204.304089395777
2018-08-30 15:00:00,11.6933333333333,69.2539243260418,176.553842100649
2018-08-30 16:00:00,14.2,72.6465686677272,174.579834054864
2018-08-30 17:00:00,14.4,76.3179787468559,187.872296444769
2018-08-30 18:00:00,12.1466666666667,77.5278979379407,179.490612038566
2018-08-30 19:00:00,15.1733333333333,80.8927763349758,170.856415257644
2018-08-30 20:00:00,13.5333333333333,83.1765317693607,170.176183706083
2018-08-30 21:00:00,10.5466666666667,65.2224648338665,143.08335454125
2018-08-30 22:00:00,13.92,54.1371581685034,120.586573570315
2018-08-30 23:00:00,11.2,63.4990020008573,129.954275672005
2018-08-31,11.3333333333333,42.3933860219952,75.4256364613344
2018-08-31 01:00:00,10.6133333333333,40.470152889782,71.8629792604877
2018-08-31 02:00:00,10.7866666666667,34.9657795497272,57.0634914986595
2018-08-31 03:00:00,9.3,36.5060569275542,61.3891293959702
2018-08-31 04:00:00,10.3,47.5906291072824,90.3214629900699
2018-08-31 05:00:00,30.6,53.6625083413109,135.226146126823
2018-08-31 06:00:00,10.9,57.3231194453685,177.513944500412
2018-08-31 07:00:00,11.1066666666667,61.7481747674635,189.892015879354
2018-08-31 08:00:00,13.12,62.5593636734173,197.844520499894
2018-08-31 09:00:00,13.0933333333333,67.5939014454834,192.314604379992
